Region-State,Q1,Q2,Q3
United States,6.60,5.60,5.00
New England ,6.50,4.90,5.20
Connecticut,7.50,5.50,5.50
Maine ,7.80,4.20,5.70
Massachusetts ,5.80,4.70,4.70
New Hampshire ,7.10,4.80,6.60
Rhode Island ,6.50,5.40,6.10
Vermont ,6.10,6.00,6.20
Mideast ,6.10,6.20,5.20
Delaware ,6.00,6.00,6.40
District of Columbia ,6.50,6.10,5.40
Maryland ,6.30,5.10,5.40
New Jersey,6.40,4.90,5.10
New York,5.80,7.00,4.70
Pennsylvania ,6.20,5.80,6.00
Great Lakes ,6.20,5.40,4.70
Illinois ,5.60,5.00,3.90
Indiana,5.50,3.90,5.30
Michigan ,7.50,6.50,4.70
Ohio ,6.30,5.60,4.50
Wisconsin ,6.90,6.30,6.50
Plains ,6.50,5.20,3.70
Iowa ,4.60,3.30,2.50
Kansas,7.30,7.60,3.50
Minnesota ,6.20,3.80,4.30
Missouri ,7.50,6.30,5.80
Nebraska,8.20,7.10,1.60
North Dakota ,3.10,3.20,-2.60
South Dakota ,7.20,4.20,2.70
Southeast ,7.70,5.70,5.50
Alabama ,7.00,5.60,7.80
Arkansas,5.90,3.50,8.90
Florida ,9.20,6.10,5.40
Georgia ,6.70,6.00,4.70
Kentucky,6.90,5.40,5.70
Louisiana ,5.60,4.50,2.90
Mississippi ,5.90,4.70,6.60
North Carolina ,8.20,5.70,6.10
South Carolina ,8.40,6.70,4.60
Tennessee ,7.00,5.30,5.80
Virginia ,8.00,6.10,5.60
West Virginia ,3.90,5.80,3.80
Southwest ,6.20,5.60,4.80
Arizona ,8.00,5.90,5.10
New Mexico,5.40,5.50,3.50
Oklahoma,4.40,5.50,4.20
Texas,6.00,5.60,4.90
Rocky Mountain ,7.20,6.50,5.30
Colorado ,7.10,5.80,5.30
Idaho ,7.70,8.00,7.30
Montana ,6.60,5.70,1.80
Utah ,7.80,7.40,6.20
Wyoming ,4.40,6.90,1.30
Far West,6.30,5.30,5.00
Alaska ,2.70,3.00,2.00
California ,5.70,5.40,5.20
Hawaii ,6.90,4.70,4.80
Nevada,8.20,5.20,3.60
Oregon ,6.70,6.00,5.10
Washington,8.70,4.90,4.50
